SERIAL,PERSON NUMBERS,PERSON 1 DESCRIPTION,RELATIONSHIP DESCRIPTION,HOUSEHOLD DESCRIPTION,OTHER PERSON DESCRIPTIONS
810915,"1,2,3,4",I am a 56-year-old man. I was born in Montana. I am a Automotive service technician and mechanic. I made $41.1K last year. I drive to work. I leave for work at around 9:47 AM. It takes me about 75 minutes to get to work.,I live with my son and my daughter and my female roommate.,"We live in Montana. We live in a house built before 1939 with 3 bedrooms. We own our home. our annual property taxes are $ 2,000 - 2,099.",2: My daughter is 16-year-old. She was born in Montana. She is a Fast food and counter worker. She made $7K last year. she leaves for work at around 3:45 AM. It takes her about 10 minutes to get to work. | 3: My son is 13-year-old. He was born in Montana. | 4: My female roommate is 57-year-old. She was born in Connecticut. She is a Maid and housekeeping cleaner. She did not have personal income last year.
797165,"1,2,3",I am a 59-year-old man. I am a veteran. I was born in Missouri. I am a Industrial and refractory machinery mechanic. I made $27.6K last year.,I live with my female partner and my male roommate.,We live in Missouri. We live in a house built in the 1980s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 650 - 699.,"2: My female partner is 55-year-old. She is a veteran. She was born in North Carolina. She is a Personal care aide. She made $24.5K last year. she leaves for work at around 2:05 PM. It takes her about 30 minutes to get to work. | 3: My male roommate is 41-year-old. He was born in Oklahoma. He works as a Heating, air conditioning, and refrigeration mechanics and installer. He made $43K last year. he leaves for work at around 7:02 AM. It takes him about 30 minutes to get to work."
1243402,"1,2,3","I am a 77-year-old man. I am a veteran. I was born in Tennessee. I am a Cutting, punching, and press machine setter, operator, and tender, metal and plastic. I made $19.7K last year.",I live with my son and my grandson.,"We live in the Nashville-Davidson--Murfreesboro--Franklin, Tennessee area. We live in a house built in the 1940s with 2 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 550 - 599.","2: My son is 54-year-old. He was born in Kentucky. He works as a Automotive service technician and mechanic. He made $7.2K last year. he leaves for work at around 6:32 AM. It takes him about 10 minutes to get to work. | 3: My grandson is 40-year-old. He was born in Tennessee. He works as a Laborer and freight, stock, and material mover, hand. He made $8.4K last year. he leaves for work at around 1:05 PM. It takes him about 23 minutes to get to work."
1233664,"1,2",I am a 77-year-old woman. I have trouble with my vision and hearing. I was born in Pennsylvania. I am a manager. I made $84.4K last year. I studied Accounting in college.,I live with my son.,"We live in the Spartanburg, South Carolina area. We live in a house built in the 1960s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 850 - 899; We also have a 2nd mortgage.",2: My son is 55-year-old. He has trouble with his vision. He was born in South Carolina. He works as a Accountant and auditor. He made $149K last year. He studied Transportation Sciences and Technologies.
820548,"1,2",I am a 62-year-old man. I was born in Nebraska. I am a Construction laborer. I made $16.4K last year.,I live with my female partner.,"We live in the Omaha, NE-IA area. We live in a house built before 1939 with 2 bedrooms. We own our home.",2: My female partner is 63-year-old. She was born in Nebraska. She is a Maid and housekeeping cleaner. She made $840 last year.
830792,"1,2,3",I am a 54-year-old woman. I was born in Mexico. I am a Waiter and waitresse. I made $50K last year. I drive to work. I leave for work at around 9:02 AM. It takes me about 20 minutes to get to work.,I live with my mother and my brother.,"We live in the Las Vegas-Henderson-North Las Vegas, Nevada area. We live in a house built around 1990 with 4 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 1,000 - 1,099.",2: My brother is 57-year-old. He was born in Mexico. He works as a Dining room and cafeteria attendant and bartender helper. He made $35K last year. he leaves for work at around 9:02 AM. It takes him about 20 minutes to get to work. | 3: My mother is 81-year-old. She has trouble with her vision. She was born in Mexico. She made $5.9K last year.
1151921,"1,2",I am a 62-year-old woman. I was born in Pennsylvania. I am a Personal care aide. I did not have personal income last year.,I live with my male partner.,We live in Pennsylvania. We live in a house built before 1939 with 5 bedrooms. We own our home. our annual property taxes are $ 950 - 999.,"2: My male partner is 59-year-old. He was born in Pennsylvania. He works as a Laborer and freight, stock, and material mover, hand. He made $20.9K last year."
1182569,"1,2,3,4",I am a 54-year-old woman. I was born in Pennsylvania. I am a Sales worker. I made $100 last year.,I live with my son and my brother and my sister.,We live in Pennsylvania. We live in a mobile home or trailer built around 1990 with 4 bedrooms. We own our home.,"2: My son is 38-year-old. He was born in Florida. he have been looking for work. He works as a Welding, soldering, and brazing worker. He made $20K last year. | 3: My brother is 65-year-old. He has trouble with his hearing. He was born in Pennsylvania. He made $12K last year. | 4: My sister is 53-year-old. She was born in Pennsylvania. She is a Personal care aide. She made $12K last year. she leaves for work at around 7:32 AM. It takes her about 10 minutes to get to work."
244557,"1,2",I am a 55-year-old woman. I was born in Minnesota. I am a Maid and housekeeping cleaner. I made $20K last year.,I live with my male partner.,"We live in Colorado. We live in a attached house built around 1990 with 2 bedrooms. We own our home. our annual property taxes are $ 3,200 - 3,299.",2: My male partner is 75-year-old. He was born in Colorado. He works as a Chef and head cook. He made $1.2K last year.
109852,"1,2,3,4,5,6",I am a 71-year-old woman. I have trouble with my vision and hearing. I was born in Oklahoma. I am a Carpenter. I made $33K last year. I drive to work. I leave for work at around 7:17 AM. It takes me about 30 minutes to get to work.,"I live with my son, 2 grandsons, my sister, and another male relative.","We live in the Riverside-San Bernardino-Ontario, California area. We live in a house built in the 1940s with 3 bedrooms. We rent.","2: My son is 49-year-old. He was born in California. He works as a Carpenter. He made $24K last year. he leaves for work at around 6:32 AM. It takes him about 30 minutes to get to work. | 3: My sister is 75-year-old. She has trouble with her vision. She was born in New Mexico. She made $11.3K last year. | 4: My grandson is 9-year-old. He was born in California. | 5: My grandson is 5-year-old. He was born in California. | 6: My other relatives is 40-year-old. He was born in California. he have been looking for work. He works as a Laborer and freight, stock, and material mover, hand. He made $12K last year."
877759,"1,2,3,4,5",I am a 80-year-old woman. I was born in North Carolina. I made $58.4K last year.,"I live with 2 sons, my granddaughter, and another female non-relative.","We live in the New York-Newark-Jersey City, NY-NJ area. We live in a house built before 1939 with 5 bedrooms. We used a mortgage to buy our home. our annual property taxes are $14000-14999.",2: My son is 57-year-old. He is a veteran. He was born in New Jersey. He works as a Security guard and gaming surveillance officer. He made $8K last year. he leaves for work at around 6:22 AM. It takes him about 80 minutes to get to work. | 3: My son is 53-year-old. He was born in New Jersey. He works as a Clinical laboratory technologist and technician. He made $75K last year. he leaves for work at around 5:42 AM. It takes him about 55 minutes to get to work. | 4: My granddaughter is 15-year-old. She was born in New Jersey. She made $83K last year. | 5: My other non-relatives is 58-year-old. She was born in New Jersey. She is a Cashier. She made $8.1K last year.
1183675,"1,2,3",I am a 74-year-old woman. I was born in Pennsylvania. I am a truck driver. I made $34K last year.,I live with my daughter and my grandson.,"We live in the Pittsburgh, Pennsylvania area. We live in a house built in the 2000s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 3,200 - 3,299.","2: My daughter is 39-year-old. She was born in Pennsylvania. She is a Hairdresser, hairstylist, and cosmetologist. She made $2.3K last year. | 3: My grandson is 14-year-old. He was born in Pennsylvania."
671305,"1,2,3",I am a 54-year-old woman. I was born in Puerto Rico. I am a Human resources worker. I made $80K last year. I drive to work. I leave for work at around 7:47 AM. It takes me about 40 minutes to get to work.,I live with my sister and my female roommate.,"We live in the Worcester, Massachusetts area. We live in a house built in the 1980s with 4 bedrooms. We used a mortgage to buy our home. our annual property taxes are $6000 - 6999; We also have a 2nd mortgage.",2: My sister is 51-year-old. She was born in Puerto Rico. She is a Pharmacist. She made $75K last year. She studied Molecular Biology. she leaves for work at around 6:02 AM. It takes her about 40 minutes to get to work. | 3: My female roommate is 72-year-old. She has trouble with her vision. She was born in Massachusetts. She is a Cashier. She made $96K last year. She studied Physical and Health Education Teaching.
814172,"1,2,3","I am a 32-year-old woman. I was born in Nebraska. I am a Bookkeeping, accounting, and auditing clerk. I made $43K last year. I drive to work. I leave for work at around 7:22 AM. It takes me about 25 minutes to get to work.",I live with my son and my male partner.,"We live in Nebraska. We live in a house built before 1939 with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 1,600 - 1,699.",2: My male partner is 35-year-old. He is a veteran. He was born in Kansas. He works as a Computer occupation. He made $73K last year. he leaves for work at around 7:22 AM. It takes him about 25 minutes to get to work. | 3: My son is 7-year-old. He was born in Nebraska.
143220,"1,2,3",I am a 65-year-old woman. I was born in California. I am a Retail supervisor. I made $147K last year. I drive to work. I leave for work at around 8:27 AM. It takes me about 2 minutes to get to work.,I live with my daughter and my male partner.,"We live in the San Luis Obispo-Paso Robles, California area. We live in a house built in the 1960s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 4,000 - 4,099.",2: My male partner is 67-year-old. He was born in Colorado. He works as a truck driver. He did not have personal income last year. | 3: My daughter is 44-year-old. She was born in California. She did not have personal income last year.
968348,"1,2,3",I am a 56-year-old woman. I was born in New York. I am a Special education teacher. I made $97K last year. I studied Elementary Education in college. I drive to work. I leave for work at around 7:32 AM. It takes me about 30 minutes to get to work.,I live with my son and my daughter.,"We live in New York. We live in a house built in the 1980s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 2,500 - 2,599.",2: My son is 34-year-old. He was born in New York. He works as a Industrial truck and tractor operator. He made $42K last year. he leaves for work at around 10:35 PM. It takes him about 10 minutes to get to work. | 3: My daughter is 16-year-old. She was born in New York. She did not have personal income last year.
1263449,"1,2,3,4",I am a 35-year-old woman. I was born in Tennessee. I am a Floral designer. I made $33K last year. I studied Miscellaneous Business and Medical Administration in college. I drive to work. I leave for work at around 8:02 AM. It takes me about 5 minutes to get to work.,I live with my son and my daughter and my male partner.,"We live in the Memphis, TN-MS-AR area. We live in a house built in the 1950s with 7 bedrooms.","2: My male partner is 35-year-old. He was born in Tennessee. He works as a Computer, automated teller, and office machine repairer. He made $55K last year. he leaves for work at around 4:05 PM. It takes him about 60 minutes to get to work. | 3: My daughter is 7-year-old. She was born in Tennessee. | 4: My son is 5-year-old. He was born in Tennessee."
1351576,"1,2",I am a 63-year-old woman. I was born in Indiana. I have been looking for work. I am a Electrical and electronic engineering technologist and technician. I made $226K last year.,I live with my male partner.,"We live in the Houston-Pasadena-The Woodlands, Texas area. We live in a 10-19 family building built in the 1980s with 2 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 2,300 - 2,399.",2: My male partner is 64-year-old. He was born in Indiana. He works as a truck driver. He made $13K last year.
956516,"1,2",I am a 71-year-old man. I was born in New York. I am a Electrician. I made $36K last year.,I live with my female partner.,We live in New York. We live in a house built before 1939 with 2 bedrooms. We own our home. our annual property taxes are $ 950 - 999.,2: My female partner is 64-year-old. She was born in New York. She is a Licensed vocational nurse. She did not have personal income last year.
1266089,"1,2,3,4,5,6,7",I am a 73-year-old woman. I was born in Illinois. I made $19.3K last year.,I live with my grandson and 3 male roommates and 2 female roommates.,We live in Tennessee. We live in a mobile home or trailer built around 1990 with 4 bedrooms. We own our home. our annual property taxes are $ 200 - 249.,2: My grandson is 13-year-old. He was born in Tennessee. | 3: My male roommate is 59-year-old. He was born in California. He did not have personal income last year. | 4: My male roommate is 39-year-old. He was born in Florida. He works as a Cashier. He made $50K last year. he leaves for work at around 5:32 AM. It takes him about 35 minutes to get to work. | 5: My female roommate is 37-year-old. She was born in Florida. She is a Retail supervisor. She made $4.8K last year. she leaves for work at around 5:32 AM. It takes her about 40 minutes to get to work. | 6: My female roommate is 18-year-old. She was born in Florida. She is a Retail supervisor. She made $10.7K last year. she leaves for work at around 7:52 AM. It takes her about 20 minutes to get to work. | 7: My male roommate is 15-year-old. He was born in Florida. He did not have personal income last year.
1288850,"1,2,3,4,5,6",I am a 40-year-old woman. I was born in Mexico. I am a Waiter and waitresse. I made $25K last year. I drive to work. I leave for work at around 9:02 AM. It takes me about 15 minutes to get to work.,I live with 2 sons and 2 daughters and my male partner.,"We live in the Dallas-Fort Worth-Arlington, Texas area. We live in a house built in the 1960s with 3 bedrooms. We rent.",2: My male partner is 41-year-old. He was born in Mexico. He works as a Transportation service attendant. He made $54K last year. he leaves for work at around 3:35 AM. It takes him about 25 minutes to get to work. | 3: My daughter is 23-year-old. She was born in North Carolina. she have been looking for work. She is a Tax preparer. She made $26K last year. | 4: My son is 20-year-old. He was born in Florida. He works as a Cashier. He made $9.6K last year. | 5: My daughter is 10-year-old. She was born in Texas. | 6: My son is 6-year-old. He was born in Texas.
855382,"1,2,3,4,5,6",I am a 50-year-old woman. I was born in New Jersey. I am a Sales supervisor. I made $74K last year. I drive to work. I leave for work at around 8:32 AM. It takes me about 58 minutes to get to work.,"I live with 2 sons and my daughter, my mother, and my male partner.","We live in the New York-Newark-Jersey City, NY-NJ area. We live in a house built in the 1970s with 5 bedrooms. We used a mortgage to buy our home. our annual property taxes are $8000-8999 ($8000-9099 in 2000).",2: My male partner is 50-year-old. He was born in New York. He works as a Retail salesperson. He made $1.8K last year. | 3: My son is 28-year-old. He was born in New Jersey. He works as a Industrial and refractory machinery mechanic. He made $77K last year. he leaves for work at around 5:02 AM. It takes him about 7 minutes to get to work. | 4: My daughter is 22-year-old. She has trouble with her hearing. She was born in New Jersey. She is a Retail salesperson. She did not have personal income last year. | 5: My son is 17-year-old. He was born in New Jersey. he have been looking for work. He did not have personal income last year. | 6: My mother is 84-year-old. She has trouble with her vision and hearing. She was born in New Jersey. She made $22.3K last year.
741314,"1,2",I am a 66-year-old man. I was born in Minnesota. I am a truck driver. I made $35.7K last year.,I live with my mother.,"We live in the Minneapolis-St. Paul-Bloomington, MN-WI area. We live in a house built in the 1950s with 3 bedrooms. We own our home. our annual property taxes are $ 3,000 - 3,099.",2: My mother is 87-year-old. She was born in Wisconsin. She is a Production worker. She made $15.5K last year.
1071538,"1,2,3",I am a 69-year-old woman. I was born in Ohio. I am a Claims adjuster and investigator. I made $27.1K last year.,I live with my sister and my male partner.,"We live in the Cleveland, Ohio area. We live in a house built in the 1970s with 3 bedrooms. We own our home. our annual property taxes are $ 3,700 - 3,799.",2: My male partner is 69-year-old. He was born in Ohio. He works as a Construction equipment operator. He made $26.5K last year. | 3: My sister is 74-year-old. She was born in Ohio. She is a Cashier. She made $35.7K last year. she leaves for work at around 4:05 PM. It takes her about 10 minutes to get to work.
1104314,"1,2",I am a 61-year-old man. I was born in Texas. I am a Wholesale and retail buyer. I made $55K last year. I studied History in college. I drive to work. I leave for work at around 4:05 AM. It takes me about 60 minutes to get to work.,I live with my female partner.,We live in Oklahoma. We live in a house built in the 1970s with 2 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 600 - 649.,2: My female partner is 60-year-old. She was born in Oklahoma. She is a Wholesale and retail buyer. She made $34.4K last year. she leaves for work at around 10:05 AM. It takes her about 5 minutes to get to work.
