SERIAL,PERSON NUMBERS,PERSON 1 DESCRIPTION,RELATIONSHIP DESCRIPTION,HOUSEHOLD DESCRIPTION,OTHER PERSON DESCRIPTIONS,group_id,day_index,hour_index,_household_size,_segment,_serial_num,_reused,status,posted_at,error,uri,cid,thread_post_count
3805,1,"I am a 81-year-old woman. I was widowed. I was born in Alabama. My ancestry is irish. I am not in the work force anymore, my income was $49k last year.",I live alone.,"I live in the dothan, Alabama area. I live in a house built in the 1970s with 4 bedrooms. I used a mortgage to buy my home. My annual property taxes are $ 1,200 - 1,299; i also have a 2nd mortgage.",,1,1,0,1,size_1,3805,0,posted,2026-04-07T01:29:20+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miumva67tx2r,bafyreic5wukcyeu6ryn6q2bgusnrce2xpjpmekbhv5rycmqkbqqjpzjyru,4.0
1531585,"1,2,3,4,5,6,7,8",I am a 52-year-old man. I was born in Wyoming. I am a construction laborer. I made $3.5k last year. I work from home.,I live with my wife and 3 sons and 3 daughters.,We live in Wyoming. We live in a house built in the 2000s with 6 bedrooms. We used a mortgage to buy our home. Our annual property taxes are $1-49 ($2-49 in 1990 pr samples).,My wife is 50 years old. She was born in Arizona. She is a teaching assistant. She made $28.1k last year. My 1st son is 18 years old. He was born in Wyoming. He works as a stocker and order filler. He made $22.8k last year. He leaves for work at around 6:32 am. It takes him about 20 minutes to get to work. My 2nd son is 15 years old. He was born in Wyoming. He made $1.2k last year. My 1st daughter is 13 years old. She was born in Wyoming. My 3rd son is 12 years old. He was born in Wyoming. My 2nd daughter is 8 years old. She was born in Wyoming. My 3rd daughter is 5 years old. She was born in Wyoming.,1,1,1,8,size_8_plus,1531585,0,posted,2026-04-07T02:22:07+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miuptmqgnz2l,bafyreiegjuin76ymknqec5haccsksqwcwr7zt6w4hdnxzewnbhuzvdjpji,7.0
1531610,1,"I am a 59-year-old woman. I am divorced. I have been married more than twice. I was born in united kingdom, ns. My ancestry is welsh. I am a nursing assistant. I made $46k last year. I studied communication disorders sciences and services in college. I drive to work. I leave for work at around 5:35 pm. It takes me about 5 minutes to get to work.",I live alone.,"I live in the cheyenne, Wyoming area. I live in a 5-9 family building built in the 2000s with 2 bedrooms. I rent.",,1,1,2,1,size_1,1531610,0,posted,2026-04-07T03:34:46+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miutvjgmtt2c,bafyreih4bopc5yonalt7nj4gll2xsall5dgwdcc75grof3zbw6jmunrosm,5.0
4166,"1,2,3,4,5,6,7,8",I am a 55-year-old man. I am separated. I have been married more than once. I was born in Alabama. I made $6.6k last year.,"I live with my daughter, my stepdaughter, my female partner, and 2 male relatives and 2 female relatives.","We live in the anniston-oxford, Alabama area. We live in a house built in the 1940s with 3 bedrooms. We rent.",My female partner is 38 years old. She was born in Alabama. She made $1.2k last year. My stepdaughter is 17 years old. She was born in Alabama. She is a waiter or waitress. She made $2k last year. She leaves for work at around 4:05 pm. It takes her about 40 minutes to get to work. My relatives is 15 years old. He was naturalized as a citizen in 2012. He was born in yemen arab republic (north). He speaks arabic. He did not have personal income last year. My relatives is 14 years old. He was born abroad to american parents. He was born in yemen arab republic (north). My relatives is 14 years old. She was born abroad to american parents. She was born in yemen arab republic (north). My relatives is 7 years old. She has trouble with her vision. She was born abroad to american parents. She was born in yemen arab republic (north). My daughter is 14 years old. She was born in Alabama.,1,1,3,8,size_8_plus,4166,0,posted,2026-04-07T05:15:57+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miuzkhoybf2b,bafyreig26ovor3q7g3u34hoke3fa3s2ig452orrqguwinifsb67x2v7s5m,8.0
3806,1,"I am a 42-year-old woman. I am married, but we don't live together. I was born in Alabama. I am a market research analyst and marketing specialist. I made $150k last year. I drive to work. I leave for work at around 7:02 am. It takes me about 155 minutes to get to work.",I live alone.,I live in Alabama. I live in a house built in the 1950s with 3 bedrooms. I own my home. My annual property taxes are $ 500 - 549.,,1,1,4,1,size_1,3806,0,posted,2026-04-07T06:02:59+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miv46leuwn2h,bafyreibfyp6ly4xrhxibapyl3jl44yatswnpiuu5klwu4fa7s6nv74mtim,4.0
1531597,"1,2,3,4,5,6","I am a 48-year-old woman. I was born in Wyoming. My ancestry is english. I am a lawyer, judge, magistrate, or judicial worker. I made $116k last year. I studied botany in college. I drive to work. I leave for work at around 7:47 am. It takes me about 5 minutes to get to work.","I live with my husband, 2 sons and my daughter, and my mother.","We live in Wyoming. We live in a house built before 1939 with 5 bedrooms. We used a mortgage to buy our home. Our annual property taxes are $ 2,000 - 2,099.","My husband is 53 years old. He was born in Wyoming. He works as a automotive body and related repairer. He made $36k last year. He leaves for work at around 8:47 am. It takes him about 10 minutes to get to work. My mother is 68 years old. She was born in Wyoming. She was a teacher and instructor. She is not in the work force anymore, she had a income of $21.8k last year. My daughter is 24 years old. She was born in Missouri. She is a pharmacy technician. She made $15k last year. She studied english language and literature. She leaves for work at around 7:47 am. It takes her about 5 minutes to get to work. My 1st son is 21 years old. He was born in Missouri. He works as a waiter or waitress. He made $500 last year. He leaves for work at around 3:05 pm. It takes him about 10 minutes to get to work. My 2nd son is 13 years old. He was born in Missouri.",1,1,5,6,size_5_7,1531597,0,posted,2026-04-07T06:57:31+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miv7a3lfp42h,bafyreicjsibhauz6zq3h6hojlv3iykj42c7wvq6oydabmj4x5mnvzxgstq,7.0
1531601,1,"I am a 73-year-old man. I am divorced. I have been married more than once. I am a veteran. I was born in Wisconsin. I speak german. I am not in the work force anymore, my income was $27.9k last year.",I live alone.,"I live in Wyoming. I live in a house built in the 1980s with 3 bedrooms. I used a mortgage to buy my home. My annual property taxes are $ 2,500 - 2,599; i also have a 2nd mortgage.",,1,1,6,1,size_1,1531601,0,posted,2026-04-07T07:58:41+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3mivcnhke352y,bafyreigejqjajax6ktdgwqemttd547taurcpvbdnvcounamzmv5mwb3cii,4.0
3843,"1,2,3,4,5",I am a 20-year-old woman. I was born in Alabama. I speak spanish. I am a cashier. I made $15k last year.,I live with my father and my mother and 2 brothers.,"We live in the birmingham, Alabama area. We live in a house built in the 1940s with 4 bedrooms. We own our home. Our annual property taxes are $ 400 - 449.",My 1st brother is 18 years old. He was born in Alabama. He works as a landscaping and groundskeeping worker. He made $15k last year. He leaves for work at around 6:02 am. It takes him about 30 minutes to get to work. My 2nd brother is 13 years old. He was born in Alabama. My father is 62 years old. He was born in Alabama. He speaks spanish. He works as a landscaping and groundskeeping supervisor. He made $60k last year. He studied general agriculture. He leaves for work at around 6:02 am. It takes him about 30 minutes to get to work. My mother is 51 years old. She was born in Alabama. She is a teaching assistant. She made $40k last year. She leaves for work at around 7:32 am. It takes her about 20 minutes to get to work.,1,1,7,5,size_5_7,3843,0,posted,2026-04-07T08:49:37+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3mivfijcrbk2c,bafyreigpzxpqtxghc6khpzhbw6jtqfw54qlijr6picil62b6pk6pwrshoa,7.0
3808,1,I am a 65-year-old woman. I am divorced. I have been married more than once. I moved within state. I was born in Florida. My ancestry is italian. I have been looking for work. I am a office clerk. I made $16k last year. I drive to work. I leave for work at around 8:32 am. It takes me about 5 minutes to get to work.,I live alone.,I live in Alabama. I live in a 2-family home built before 1939 with 2 bedrooms. I rent.,,1,1,8,1,size_1,3808,0,posted,2026-04-07T09:52:26+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miviytpiqk2h,bafyreic3xc2rzc3yrffxq7bfffswyno5hh22oz4qu3aodrnihfed2b2iii,5.0
1531600,"1,2,3,4,5",I am a 52-year-old man. I have been married more than once. I was born in Nebraska. I am a police officer. I made $75k last year. I drive to work. I leave for work at around 7:32 am. It takes me about 15 minutes to get to work.,I live with my wife and 2 sons and my daughter.,We live in Wyoming. We live in a mobile home or trailer built in the 2000s with 3 bedrooms. We rent.,"My wife is 47 years old. She was born in Wyoming. She is a retail supervisor. She made $30.8k last year. She leaves for work at around 7:17 am. It takes her about 20 minutes to get to work. My 1st son is 19 years old. He was born in Wyoming. He works as a mobile equipment mechanic, installer, and repairer. He made $24k last year. He leaves for work at around 4:25 am. It takes him about 20 minutes to get to work. My 2nd son is 15 years old. He was born in Wyoming. He did not have personal income last year. My daughter is 11 years old. She was born in Wyoming.",1,1,9,5,size_5_7,1531600,0,posted,2026-04-07T10:48:55+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3mivm5u2fxn2k,bafyreiauowyxzajq3k4nsysodsreww7jkyslwgaedgvlrmzkdmf5maxgee,7.0
